Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 2.6226101909e-05 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 5.3882744396e-05 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 1.5258818166e-05 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 7.1525764724e-06 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 1.5258818166e-05 19920831 1800 3-6 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 4.7683843150e-06 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 3.9577585994e-05 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 2.0027204300e-05 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 4.7683840876e-07 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 2.0980878617e-05 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 0.0000000000e+00 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 4.9582187785e-05 19920831 1800 6-9 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 2.6700567105e-05 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 9.5320285709e-07 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 3.5754812416e-05 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 3.9540143916e-05 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 4.2915453378e-06 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 2.8605558327e-05 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 1.4781989194e-05 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 1.2013720698e-04 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
   32.500   71.750 8.8689936092e-05 19920831 1800 9-12 tp
Latitude, Longitude, Value, date, time, stepRange, shortName
