Date,Flo_1,Flo_2,Flo_3,Flo_4,Flo_5,Flo_6,Flo_7,Flo_8,Flo_9,Flo_10,Pr_1,Pr_2,Pr_3,Pr_4,Pr_5,Pr_6,Pr_7,Pr_8,Pr_9,Pr_10
1992-09-01,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1992-09-02,0.807,0.807,0.807,0.808,0.807,0.808,0.807,0.808,0.808,0.807,0.11578144487620468,0.11578144487620468,0.11578144487620468,0.07632783268569299,0.11578144487620468,0.07632783268569299,0.11578144487620468,0.07632783268569299,0.07632783268569299,0.11578144487620468
1992-09-03,1.05,0.81,2.87,2.73,0.828,0.799,0.852,0.837,22.0,0.848,0.11032975970634475,0.10869830005071536,0.11775524600809299,0.11751887960421845,0.10882536682835664,0.10862027905951195,0.10899361843567162,0.10888861828883001,0.0014042623418317715,0.10896566967642643
1992-09-04,1.07,0.812,1.98,1.91,0.847,0.8,0.879,0.859,8.1,0.868,0.11254304281318511,0.10714591431662755,0.11916610655888399,0.11940792630991139,0.10795466736132449,0.10686343779712981,0.10867397397817019,0.10822668624619777,0.0015893340744028465,0.1084289105441668
1992-09-05,1.04,0.81,1.47,1.44,0.847,0.794,0.876,0.859,4.0,0.869,0.11637540712699955,0.10533844348257251,0.11903221448132785,0.119670454617928,0.10748242668253008,0.10437354091160075,0.10907280897465503,0.10815041047752312,0.0018078551890531155,0.10869643805580999
1992-09-06,1.02,0.814,0.971,0.964,0.856,0.801,0.879,0.867,2.43,0.879,0.11815615148981815,0.10430660121332724,0.11675863313163098,0.11645492452390308,0.10870655237186484,0.10281133127317185,0.11081116574096365,0.10974150323004274,0.001441971284313696,0.11081116574096365
1992-09-07,4.62,10.1,2.05,9.21,1.07,0.905,2.52,1.92,9.93,1.05,0.15248409056483125,0.0450928276818504,0.12615958650134915,0.0638690236162968,0.10326833198579917,0.09915382716846312,0.13543688050744906,0.12335326014915389,0.04841056237621018,0.10277160944859688
1992-09-08,29.7,58.9,16.2,47.4,23.7,10.6,13.7,25.7,30.9,44.8,0.14729886508877285,0.023477391818198277,0.09553963041111183,0.07609315263155007,0.13430699302653065,0.06293436820446331,0.08067390456457188,0.14099122925624583,0.14718884106125,0.09149562393730533
1992-09-09,71.1,149.0,119.0,211.0,145.0,71.8,78.7,89.4,114.0,105.0,0.07878077477675606,0.10044651576798891,0.13906144184912766,0.009725611614085932,0.10812752004781821,0.08020643024275047,0.09426438177970536,0.11462359687979884,0.13950802564601306,0.1352557013959554
1992-09-10,19.5,13.0,18.5,36.0,26.9,12.6,28.4,14.9,14.2,13.8,0.145194547844441,0.09762435072617172,0.14324845685863033,0.014925083284683371,0.09371395872347446,0.09302101799570285,0.07640293535312462,0.11824498549670034,0.11098815289377234,0.10663651082329903
